,Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
esptool,23.49,2.67,0.0,17.75,406.02,2.89,0.26,1.51,1.41
face-alignment,0.0,-3.44,54.99,0.13,-3.97,-8.27,1.33,0.56,2.09
fail2ban,-1.8,1.47,15.11,0.0,4.19,30.23,-22.96,0.8,45.55
fairseq,47.5,31.62,34.6,6.15,30.09,4.09,2.37,23.14,31.38
faker,28.56,30.21,0.09,0.02,252.89,0.1,0.0,0.9,0.0
falcon,3.81,2.7,0.78,0.0,0.0,0.0,0.3,4.45,0.0
fantasque-sans,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
fastapi,108.77,0.63,0.18,0.5,0.28,1.12,0.82,3.55,0.15
FATE,90.68,33.81,-0.15,0.01,26.11,-1.26,0.14,17.96,0.39
featuretools,1.42,5.94,0.01,1.07,0.41,1.32,3.52,-0.41,3.07
flair,61.43,35.69,5.12,1.53,42.26,6.08,47.18,21.17,10.07
Flashlight,23.17,238.61,26.32,4.17,2.22,2.39,0.0,28.87,10.87
flask-admin,30.31,3.67,3.66,6.62,4.12,0.02,5.08,1.38,-1.5
flask,11.9,-10.63,12.24,0.08,0.46,-0.78,5.77,0.25,0.15
folium,6.81,5.18,14.9,152.2,0.0,-30.2,76.7,0.75,16.22
freqtrade,14.91,10.94,70.47,2.99,7.71,12.13,83.34,0.0,0.0
frida,0.0,19.67,0.21,0.0,0.0,0.0,0.0,0.0,0.0
frigate,-21.76,2.73,7.14,1.4,7.19,2.85,4.44,0.0,4.52
fuzzywuzzy,2.19,1.07,1.5,-0.44,12.67,0.23,0.0,2.48,2.49
gallery-dl,15.4,16.58,14.56,26.56,11.62,11.26,4.37,4.62,7.49
gef,1.54,9.38,4.57,-0.06,0.03,-1.37,4.25,1.42,0.98
gensim,0.0,2.43,5.61,1.61,3.16,8.55,1.8,2.74,0.81
gevent,0.05,-0.85,1.82,25.33,6.0,1.63,0.8,0.51,0.31
GitGutter,1.33,0.79,9.77,0.83,3.06,0.0,0.0,2.63,2.89
glances,0.01,-0.01,5.45,0.02,6.01,1.53,0.14,15.81,5.13
gluon-cv,56.43,76.31,25.76,24.09,25.59,13.86,8.14,26.88,7.17
google-api-python-client,0.73,2.52,0.78,0.18,0.31,1.97,0.01,0.7,1.51
google-cloud-python,27.44,3.3,4.63,3.88,5.9,6.64,-6.1,17.5,45.33
googler,4.04,27.18,5.34,2.17,0.0,0.47,3.53,10.68,8.42
graphene,12.19,2.45,1.51,-1.2,13.26,6.9,21.73,0.67,12.19
great_expectations,0.11,28.69,0.01,6.49,1.57,2.39,8.59,6.38,0.08
grr,21.08,0.65,3.24,3.06,0.01,-1.09,3.8,5.54,0.66
gspread,8.93,0.14,0.42,17.7,-3.24,0.0,9.37,1.57,8.03
guake,2.71,2.01,0.67,0.55,0.0,14.23,0.0,0.94,0.0
gunicorn,2.0,9.35,1.95,0.21,10.16,0.04,0.11,1.32,0.0
gym,1.76,-15.54,-26.52,38.62,48.43,-2.49,-0.37,7.19,-2.62
HanLP,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
haystack,247.06,212.13,1.71,49.65,15.72,12.75,25.19,25.65,11.18
healthchecks,0.33,0.02,0.01,0.31,44.86,2.05,4.8,4.33,7.0
Hitomi-Downloader,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,15400.0
horovod,1.55,11.7,0.04,0.04,0.11,30.78,5.69,0.0,2.83
hosts,-100.0,367900.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0
http-prompt,38.52,9.34,0.77,9.82,0.54,1.5,-3.33,13.51,3.26
httpie,10.03,-11.15,-0.41,-5.22,-0.26,-1.21,-17.85,0.03,-1.38
httpx,18.43,7.84,2.02,-13.19,0.37,0.21,0.6,0.01,0.16
Hub,0.0,0.05,12.53,0.86,3.45,10.95,1.0,15.28,-10.71
huey,-4.96,-3.07,-1.81,-1.45,-5.94,-0.1,-7.61,2.56,-1.23
hug,-12.95,15.45,-0.03,1.86,0.13,0.17,9.27,0.04,0.02
hummingbot,13.2,3.53,0.54,3.29,9.56,4.49,0.0,24.12,-0.02
hy,-8.91,0.0,2.23,-6.53,30.92,2.38,-4.25,1.13,0.12
hydra,185.46,-0.31,17.02,0.28,3.96,1.58,2.52,0.07,7.12
hypothesis,0.03,-0.0,0.02,-0.02,0.15,0.0,-0.03,0.36,0.04
igbot,9.03,5.31,29.84,55.75,0.1,1.99,0.0,-9.38,0.0
ignite,84.55,22.13,93.96,15.11,43.81,49.68,4.38,1.8,4.57
ImageAI,20.69,0.0,0.0,-0.13,18.33,0.0,98.45,14.32,-41.59
imbalanced-learn,0.01,0.0,0.31,0.0,0.0,0.93,31.88,-24.17,0.0
impacket,-1.8,4.0,11.84,2.03,0.67,5.5,2.19,6.63,1.03
instagram-scraper,3.27,18.25,37.86,14.93,12.08,-10.43,5.82,0.37,0.0
instaloader,9.07,53.94,5.12,1.58,1.04,13.74,24.27,-3.18,13.13
inter,0.2,1.34,0.0,0.0,5.44,181.47,0.07,0.0,0.59
isort,0.0,0.0,2.21,9.5,0.0,0.2,0.2,0.0,-2.16
isso,0.04,1.86,57.8,1.81,0.66,-19.57,11.31,0.0,1.7
ItChat,8.59,1.26,1.66,0.77,1.53,3.93,0.43,0.97,16.74
jax,20.46,3.14,0.0,7.49,57.45,1.48,0.7,1.9,2.36
jina,-13.42,13.89,15.96,18.4,16.4,-0.55,0.0,0.0,0.0
jinja,0.15,-1.39,0.0,1.71,0.02,-0.32,0.02,3.67,0.0
jrnl,5.09,74.81,0.5,0.61,1.04,0.33,0.43,0.32,0.11
jupytext,25.48,0.83,9.32,6.87,1.67,43.14,2.65,4.74,17.1
kafka-python,-13.18,21.88,33.12,14.19,94.91,-46.05,88.74,0.88,35.34
kedro,3.07,3.06,7.01,17.05,5.48,9.62,0.0,4.64,16.21
keras,-4.12,12.64,6.5,4.28,0.28,9.04,1.26,0.05,0.78
kinto,0.0,0.0,-10.26,378.96,5.42,7.46,1.91,15.64,0.97
knowledge-repo,0.48,0.01,0.04,0.76,0.14,0.0,-0.04,0.0,0.54
kornia,41.01,111.04,141.79,60.55,8.18,0.59,0.08,1.96,23.5
label-studio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
labelme,0.06,1.31,2.52,1.14,0.71,31.67,0.0,0.0,0.0
LaZagne,0.11,0.0,3.13,10.6,1.76,3.14,-2.81,1.81,-1.03
lbry-sdk,22.94,12.35,2.16,0.0,1.4,-5.03,0.05,0.08,0.09
librosa,-20.27,40.3,27.44,3.46,129.06,2.24,1.09,9.48,0.06
localstack,1.7,7.27,15.97,270.82,0.34,4.07,1.04,3.76,8.4
locust,3.21,10.77,22.44,-14.6,-0.02,-0.48,-13.23,35.94,5.47
loguru,44066.67,-5.28,0.0,7.51,1.6,1.37,1.77,49.75,0.77
ludwig,5.47,1.76,33.83,3.67,5.32,31.92,5.02,5.1,0.35
lutris,0.35,-0.21,2.54,1.5,0.51,0.19,0.37,2.84,5.13
mackup,0.0,-0.19,0.0,0.24,0.63,0.0,1.16,-2.77,0.44
magenta,-2.68,-7.4,19.09,44.89,21.8,0.02,0.19,1.46,16.79
mailinabox,3.61,3.47,3.06,0.41,42.69,0.0,-0.01,-1.13,-0.31
maltrail,38.26,0.4,1.5,1.06,19.47,-0.95,2.92,-0.57,1.89
manim,-93.36,2.29,2.67,4.44,1.68,0.0,-1.03,7.89,-0.02
material-theme,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
MechanicalSoup,4.79,0.47,68.6,31.84,62.85,17.26,7.1,8.6,4.36
meson,6.25,6.07,1.71,2.32,2.95,7.67,5.75,3.42,5.39
metaflow,0.53,-0.01,0.28,0.6,-0.01,14.05,0.07,0.84,0.82
microk8s,6.48,22.29,28.03,0.46,3.79,0.05,-0.03,1.33,14.62
microservices-demo,0.08,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0
mindsdb,0.63,-34.31,5.15,39.6,1.68,0.27,0.07,7.36,0.0
mitmproxy,27.12,4.36,0.02,-6.91,-0.85,1.95,6.14,72.63,0.02
mlflow,-0.33,14.34,11.42,2.24,3.27,9.08,1.01,0.0,20.96
mmdetection,-0.29,-2.04,11.64,7.2,2.44,7.21,3.13,5.03,2.83
MMdnn,2.67,36.02,9.83,27.29,3.21,22.57,0.0,0.0,0.27
models,2.03,7.47,12.52,0.04,52.95,12.96,5.97,85.96,49.84
modin,12.38,1.3,7.27,3.34,0.3,0.23,1.12,12.04,1.39
monkey,-7.29,1.55,23.17,15.99,6.07,39.5,9.36,4.69,8.91
mopidy,-0.0,-0.28,-0.01,4.67,0.05,0.12,0.06,-12.68,0.78
moviepy,6.09,0.26,8.83,2.85,8.32,0.06,0.21,0.75,-0.7
Movie_Data_Capture,0.0,21.11,0.0,2.07,-0.81,5.33,0.0,105.84,15.12
mps-youtube,0.26,8.07,1.69,0.05,1.52,7.84,0.17,1.21,0.47
multi-v2ray,3.48,13.44,2.96,-17.79,-3.23,25.75,0.0,0.04,0.0
musicbox,0.8,0.85,0.51,0.05,2.29,1.5,1.71,-0.41,-7.98
mycroft-core,6.78,19.06,2.27,3.5,0.0,0.0,1.75,1.07,2.29
nameko,6.44,-1.4,2.03,2.6,1.58,6.41,-4.71,0.62,10.74
neon,11.21,5.39,3.48,17.53,2.02,9.99,1.11,3.35,4.75
nni,11.71,30.63,-0.01,0.02,8.98,27.46,21.01,2.65,3.72
ntfy,46.53,-2.03,0.69,0.0,1.71,2.02,0.0,26.73,232.29
nuclei-templates,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
numpy,-4.38,4.84,0.07,0.0,0.07,0.0,2.48,0.09,0.02
nupic,-0.0,0.2,0.0,0.17,0.09,-0.58,-0.48,0.18,0.28
objection,0.44,0.77,0.35,20.37,0.0,-0.05,0.83,0.68,0.7
OctoPrint,15.15,-0.43,23.38,14.48,4.77,-0.65,1.68,180.12,0.04
OneForAll,-2.84,-0.99,5.06,8.75,4.08,1.03,-0.21,7.51,6.29
onionshare,0.84,9.42,1.63,-1.57,2.59,20.73,27.23,2.97,28.36
OpenNMT-py,17.76,1.77,1.45,1.23,0.03,1.02,-0.01,-6.01,1.69
openpilot,215.68,1.22,0.48,11.29,1.19,1.48,0.84,-69.53,0.74
opensnitch,6.58,1.46,17.16,1.78,-33.0,6.16,0.69,6.84,0.71
oppia,15.32,0.97,1.57,3.3,-0.92,-1.69,3.31,0.14,2.62
optuna,30.47,2.74,26.0,-0.9,5.34,6.9,3.62,2.76,9.0
owasp-mstg,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1300.0,0.0,0.0
PaddleHub,48.06,-6.58,20.22,2.03,0.0,5.76,1.23,29.97,10.36
PaddleSeg,10.44,10.66,95.57,79.74,34.35,7.36,0.71,5.82,12.78
pandas,3.14,8.77,0.32,2.84,5.07,3.52,0.19,0.59,0.79
paperless-ng,0.0,6.37,8.93,1.95,10.02,2.79,3.44,0.41,3.7
paperless,0.0,0.09,0.61,0.67,2.18,3.55,2.75,1.87,1.97
ParlAI,1.63,-1.71,1.76,-5.83,2.13,0.01,-5.43,-13.8,4.79
PathPicker,9.52,9.14,45.17,16.54,4.4,3.55,4.35,3.41,4.98
patroni,0.0,29.9,0.34,0.05,14.51,5.48,17.61,12.56,46.68
peewee,3.2,4.48,8.88,4.48,4.92,3.51,17.88,3.91,2.45
pendulum,0.14,48.69,13.26,0.1,2.31,0.31,0.0,0.4,11.95
persepolis,73.14,0.04,0.22,0.01,75.49,-0.01,0.07,16.35,0.76
Photon,-5.49,16.22,7.92,13.13,-5.46,2.17,0.71,8.77,-10.65
Pillow,1.62,2.06,2.33,2.31,-2.17,-0.09,0.1,2.22,0.03
pip-tools,6.33,9.87,0.4,1.53,1.8,2207.97,0.01,0.05,-95.36
pipx,0.59,8.22,44.82,2.17,0.34,0.18,1.07,4.23,0.52
platformio-core,2.95,7.71,0.1,3.58,8.93,15.44,12.44,1.15,27.63
playwright-python,23.27,4.69,1.04,1.26,0.66,-0.7,1.43,0.03,0.62
plotly.py,0.0,1.81,93.99,6.06,0.01,1228.35,-0.02,5.05,0.04
poetry,59.23,29.77,0.0,0.01,5.43,2.0,0.32,7.33,0.34
pre-commit,-0.05,0.85,0.12,-0.03,0.81,1.47,4.79,0.04,0.01
prefect,12.76,8.98,24.37,25.63,7.2,33.97,6.4,1.26,0.82
prophet,35.62,22.94,2.27,28.71,47.2,8.05,17.02,11.38,4.25
proselint,-2.08,-0.16,0.0,0.0,2.22,6.18,3.89,0.0,0.0
pwntools,36.35,82.92,0.08,-0.08,0.29,-0.0,0.0,0.02,3.0
pydub,16.62,4.64,0.6,0.35,1.67,4.29,0.1,0.1,1.97
PyGithub,0.8,0.1,0.02,0.37,-0.4,3.93,0.0,3.66,2.61
pyinstaller,-0.66,-13.6,-49.41,0.0,1.51,-35.27,-24.23,-0.46,1.34
pyjwt,8.41,49.61,0.15,2.63,2.85,2.84,22.34,28.04,1.94
