R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
34,0,1,8,3,3,22,0,0
10,1,0,1,6,3,1,0,1
1,35,6,14,95,43,69,63,323
0,21,6,20,6,12,16,68,26
159,71,66,46,40,35,81,69,86
51,44,127,57,74,57,36,14,69
19,35,39,3,8,28,20,14,2
0,0,14,0,0,105,13,13,132
3,16,8,27,16,58,61,27,13
16,26,12,16,21,8,25,26,35
0,1,15,36,43,21,25,49,4
1,22,13,13,20,15,3,25,0
9,37,55,40,36,167,14,71,112
1035,124,50,69,73,45,88,32,88
39,208,161,328,7,93,226,77,85
0,2,23,4,8,22,1,61,44
48,2,1,22,10,28,41,38,67
4,20,119,283,365,139,3,587,35
20,31,10,38,42,25,105,3,20
52,139,22,95,32,137,323,54,552
3,0,2,1,1,0,17,11,10
0,0,1,53,60,19,554,374,200
7,7,6,7,5,14,17,15,6
20,1,2,17,1,4,4,2,1
2,4,15,12,35,0,35,13,23
314,185,220,110,15,25,37,11,22
36,160,2,63,43,112,11,56,98
39,149,41,43,37,120,124,25,111
45,0,34,84,13,59,26,34,103
12,302,2150,8,2,1,2,2,6
0,2,20,38,28,7,37,6,0
36,84,30,135,115,0,1,2,4
153,135,102,157,206,96,257,165,193
0,51,124,120,183,212,13,310,15
3,0,6,3,4,56,19,16,24
237,20,1,16,96,54,64,70,60
0,0,0,0,0,1,0,2,0
1,0,0,2,0,0,0,0,0
204,6,42,10,9,16,41,27,8
4,0,71,12,12,3,4,5,2
0,103,22,0,41,0,0,0,2
43,91,730,1066,138,282,313,0,0
3,47,4,143,34,34,91,4,5
16,0,0,0,1,1,3,3,39
88,31,27,30,2,51,15,37,32
0,0,0,0,0,0,0,0,0
33,1,10,44,13,1,15,27,25
0,0,0,0,0,0,0,0,0
4,4,1,6,1,4,15,11,9
16,223,43,26,532,3,337,74,33
355,8,63,429,13,91,92,106,5
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
11,13,3,10,15,12,2,19,0
105,64,155,51,19,152,281,76,14
369,1,8,6,7,1,2,1,3
8,5,1,7,9,0,0,8,13
162,87,13,48,6,11,46,45,368
6,3,356,0,19,1,0,3,71
2,4,2,9,0,0,2,5,16
1,17,0,4,0,4,1,3,7
6,17,0,84,21,12,84,0,0
42,52,62,76,39,63,10,15,63
39,27,33,41,87,70,53,49,62
142,35,116,177,109,137,18,26,58
3,7,13,180,75,34,1,8,167
27,39,84,27,55,124,89,78,56
0,1,3,8,0,1,5,7,100
461,242,300,77,14,67,38,83,51
55,53,6,1,7,10,0,147,0
4,729,884,5,22,41,2,3,79
306,11,212,147,32,93,219,349,497
4,3,0,1,0,0,1,0,0
12,0,0,0,18,140,9,0,0
108,90,115,78,94,32,96,78,42
30,35,241,141,1,8,0,178,234
72,10,8,16,28,55,46,22,55
30,61,76,3,55,118,105,17,86
0,2,9,347,25,2,13,22,5
64,12,102,0,6,11,13,13,29
4,0,6,7,64,5,7,24,16
70,69,1,0,0,0,19,362,0
112,0,0,12,0,0,0,31,5
50,0,20,18,38,60,67,25,51
68,26,13,33,7,31,30,9,44
8,22,124,188,223,2,41,47,274
12,9,78,23,18,82,56,56,86
16,5,9,17,7,8,20,11,17
0,1,12,18,134,75,264,10,4
0,1,3,0,4,0,23,2,32
103,130,113,320,1,9,27,431,114
