,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
haystack,646,2242,6998,7118,10652,12326,13898,17399,21861,24304
healthchecks,7977,8003,8005,8006,8031,11634,11873,12443,12982,13891
Hitomi-Downloader,0,0,0,0,0,0,0,0,0,155
horovod,25580,25976,29015,29026,29038,29071,38019,40183,40183,41320
hosts,0,0,3680,3680,3680,3680,3680,3679,3679,3679
http-prompt,3076,4261,4659,4695,5156,5184,5262,5087,5774,5962
httpie,4954,5451,4843,4823,4571,4559,4504,3700,3701,3650
httpx,9297,11010,11873,12113,10515,10554,10576,10639,10640,10657
Hub,12807,12807,12813,14419,14543,15045,16692,16859,19435,17354
huey,4800,4562,4422,4342,4279,4025,4021,3715,3810,3763
hug,12351,10752,12413,12409,12640,12657,12678,13853,13859,13862
hummingbot,12223,13836,14324,14402,14876,16298,17029,17029,21136,21131
hy,7153,6516,6516,6661,6226,8151,8345,7990,8080,8090
hydra,6243,17821,17765,20789,20847,21672,22015,22569,22584,24191
hypothesis,45578,45591,45590,45600,45589,45657,45657,45644,45808,45826
igbot,432,471,496,644,1003,1004,1024,1024,928,928
ignite,3825,7059,8621,16721,19247,27679,41431,43246,44026,46039
ImageAI,7979,9630,9630,9630,9617,11380,11380,22584,25819,15081
imbalanced-learn,8166,8167,8167,8192,8192,8192,8268,10904,8268,8268
impacket,112553,110527,114950,128558,131172,132045,139303,142354,151785,153345
instagram-scraper,398,411,486,670,770,863,773,818,821,821
instaloader,430,469,722,759,771,779,886,1101,1066,1206
inter,7949,7965,8072,8072,8072,8511,23956,23972,23972,24113
isort,453,453,453,463,507,507,508,509,509,498
isso,2788,2789,2841,4483,4564,4594,3695,4113,4113,4183
ItChat,1978,2148,2175,2211,2228,2262,2351,2361,2384,2783
jax,61729,74361,76695,76695,82442,129802,131727,132647,135169,138365
jina,22773,19718,22456,26039,30831,35888,35691,35691,35691,35691
jinja,20652,20682,20394,20394,20742,20746,20679,20684,21443,21443
jrnl,982,1032,1804,1813,1824,1843,1849,1857,1863,1865
jupytext,1052,1320,1331,1455,1555,1581,2263,2323,2433,2849
kafka-python,5575,4840,5899,7853,8967,17478,9430,17798,17954,24299
kedro,17454,17990,18540,19839,23222,24495,26851,26851,28096,32649
keras,43848,42040,47354,50432,52589,52738,57507,58230,58260,58716
kinto,429,429,429,385,1844,1944,2089,2129,2462,2486
knowledge-repo,7498,7534,7535,7538,7595,7606,7606,7603,7603,7644
kornia,2241,3160,6669,16125,25889,28006,28172,28195,28749,35506
label-studio,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
labelme,3362,3364,3408,3494,3534,3559,4686,4686,4686,4686
LaZagne,8342,8351,8351,8612,9525,9693,9997,9716,9892,9790
lbry-sdk,18628,22901,25729,26284,26284,26653,25313,25326,25345,25367
librosa,4578,3650,5121,6526,6752,15466,15812,15985,17501,17511
localstack,3708,3771,4045,4691,17395,17455,18166,18355,19046,20646
locust,4677,4827,5347,6547,5591,5590,5563,4827,6562,6921
loguru,15,6625,6275,6275,6746,6854,6948,7071,10589,10671
ludwig,22096,23305,23715,31738,32904,34654,45717,48012,50461,50636
lutris,17522,17584,17547,17992,18261,18354,18389,18457,18982,19955
mackup,2053,2053,2049,2049,2054,2067,2067,2091,2033,2042
magenta,16208,15773,14606,17395,25203,30697,30703,30762,31211,36450
mailinabox,4874,5050,5225,5385,5407,7715,7715,7714,7627,7603
maltrail,4025,5565,5587,5671,5731,6847,6782,6980,6940,7071
manim,294309,19544,19991,20524,21436,21796,21796,21572,23274,23269
material-theme,0,0,0,0,0,0,0,0,0,0
MechanicalSoup,605,634,637,1074,1416,2306,2704,2896,3145,3282
meson,10247,10887,11548,11746,12019,12374,13323,14089,14571,15357
metaflow,15937,16022,16020,16065,16161,16160,18431,18444,18599,18751
microk8s,5106,5437,6649,8513,8552,8876,8880,8877,8995,10310
microservices-demo,5198,5202,5204,5210,5210,5210,5210,5210,5210,5210
mindsdb,8607,8661,5689,5982,8351,8491,8514,8520,9147,9147
mitmproxy,18092,22999,24002,24006,22348,22159,22591,23979,41394,41401
mlflow,10607,10572,12088,13469,13771,14222,15513,15670,15670,18955
mmdetection,52776,52623,51547,57549,61695,63203,67760,69884,73397,75473
MMdnn,15290,15698,21352,23451,29850,30807,37760,37760,37760,37863
models,11126,11352,12200,13728,13734,21006,23728,25145,46760,70065
modin,16822,18905,19150,20543,21229,21293,21341,21579,24178,24513
monkey,10442,9681,9831,12109,14045,14897,20781,22727,23794,25913
mopidy,25079,25078,25008,25005,26172,26184,26216,26231,22905,23084
moviepy,8371,8881,8904,9690,9966,10795,10802,10825,10906,10830
Movie_Data_Capture,199,199,241,241,246,244,257,257,529,609
mps-youtube,1916,1921,2076,2111,2112,2144,2312,2316,2344,2355
multi-v2ray,1898,1964,2228,2294,1886,1825,2295,2295,2296,2296
musicbox,3636,3665,3696,3715,3717,3802,3859,3925,3909,3597
mycroft-core,6271,6696,7972,8153,8438,8438,8438,8586,8678,8877
nameko,13833,14724,14518,14812,15197,15437,16426,15653,15750,17441
neon,19368,21539,22699,23489,27607,28166,30980,31325,32374,33912
nni,11178,12487,16312,16310,16314,17779,22662,27424,28152,29199
ntfy,202,296,290,292,292,297,303,303,384,1276
nuclei-templates,0,0,0,0,0,0,0,0,0,0
numpy,188782,180514,189258,189390,189390,189531,189531,194228,194402,194436
nupic,248643,248634,249128,249128,249550,249764,248323,247125,247563,248255
