,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
huey,2878,2785,2679,2635,2603,2450,2446,2212,2274,2248
hug,8223,7142,8261,8258,8406,8417,8430,8535,8539,8540
hummingbot,9125,10342,10683,10744,10915,11866,12410,12410,15452,15453
hy,3882,3901,3901,4083,3781,4648,4769,4537,4589,4603
hydra,2981,8379,8340,9606,9631,9975,10125,10448,10450,11255
hypothesis,23245,23250,23249,23257,23253,23276,23276,23274,23351,23357
igbot,302,333,354,429,627,633,647,647,600,600
ignite,2218,4130,5119,9841,11187,16292,23070,24017,24379,25523
ImageAI,3558,4618,4618,4618,4609,5625,5625,11440,13132,7774
imbalanced-learn,3462,3463,3463,3473,3473,3473,3505,3974,3505,3505
impacket,66775,65288,67645,76303,77821,78298,82298,84321,87670,88689
instagram-scraper,275,286,335,444,491,543,526,559,564,564
instaloader,330,362,471,491,496,503,565,746,699,803
inter,5108,5119,5183,5183,5183,5470,15279,15287,15287,15379
isort,274,274,274,279,311,311,312,313,313,303
isso,1640,1640,1665,2669,2719,2712,2011,2295,2295,2328
ItChat,1329,1452,1463,1489,1502,1525,1577,1588,1600,1903
jax,36502,43540,44640,44640,47545,72821,73865,74311,75787,77467
jina,12836,11315,13097,15179,17919,20672,20529,20529,20529,20529
jinja,11468,11488,11365,11365,10822,10825,10805,10808,10976,10976
jrnl,660,703,1143,1145,1153,1167,1174,1181,1184,1184
jupytext,672,791,797,860,922,951,1375,1398,1436,1572
kafka-python,2914,2715,3080,3798,4379,8799,4643,8952,9069,12687
kedro,6680,6892,7155,7708,9291,9770,10644,10644,11086,13081
keras,22249,21305,24401,25779,26917,26972,29365,29681,29689,29952
kinto,181,181,181,163,943,993,1077,1095,1305,1317
knowledge-repo,4517,4544,4545,4548,4574,4583,4583,4580,4580,4598
kornia,1055,1498,3379,7744,12110,12982,13095,13108,13272,16383
label-studio,845,845,845,845,845,845,845,845,845,845
labelme,2352,2352,2384,2428,2455,2477,3114,3114,3114,3114
LaZagne,5122,5130,5130,5316,5949,6064,6256,6155,6286,6254
lbry-sdk,12276,15254,17254,17705,17705,17991,17008,17020,17035,17056
librosa,1326,1452,1482,1817,1860,4823,4899,4968,5484,5485
localstack,2509,2552,2736,3163,10801,10840,11303,11417,11827,12859
